Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,108.5,-73.4,-90.0,top
C2,4.7uF_1206_50V,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,134.6,-91.95,0.0,top
C3,10uF_1206_50V,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,135.7,-99.95,90.0,top
C4,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,133.5,-99.35,-90.0,top
C5,10nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,131.6,-99.325,-90.0,top
C6,100uF,CP_EIA-3528-12_Kemet-T,128.4,-95.75,90.0,top
C7,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,122.5,-103.05,180.0,top
C8,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,119.5,-99.85,-90.0,top
C9,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,134.7,-79.65,0.0,top
C11,100nF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,128.5,-79.65,0.0,top
J1,JST_SH_Conn_01x04_i2c_horizontal,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,91.1,-126.514286,-90.0,top
J2,JST_SH_Conn_01x04_i2c_horizontal,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,91.1,-90.742857,-90.0,top
J3,JST_SH_Conn_01x04_i2c_horizontal,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,91.1,-117.571428,-90.0,top
J4,JST_SH_Conn_01x04_i2c_horizontal,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,91.1,-81.8,-90.0,top
J5,JST_SH_Conn_01x04_i2c_horizontal,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,91.1,-108.628571,-90.0,top
J6,JST_SH_Conn_01x04_i2c_horizontal,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,91.1,-72.857143,-90.0,top
J7,JST_SH_Conn_01x04_i2c_horizontal,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,91.1,-99.685714,-90.0,top
J8,JST_SH_Conn_01x04_i2c_horizontal,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,91.1,-63.914286,-90.0,top
J9,JST_SH_Conn_01x04_i2c_horizontal,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,141.2,-85.95,90.0,top
J10,JST_SH_Conn_01x04_i2c_horizontal,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,141.1,-76.95,90.0,top
J11,MMCX,MMCX_JLC,118.8,-81.6,0.0,top
J12,Conn_01x03_Female,PinHeader_1x03_P2.54mm_Vertical,120.3,-66.775,0.0,top
J13,Conn_01x03_Female,PinHeader_1x03_P2.54mm_Vertical,111.0,-66.775,0.0,top
J14,Conn_01x03_Female,PinHeader_1x03_P2.54mm_Vertical,115.65,-66.775,0.0,top
L1,6.8uH,L_1210_3225Metric_Pad1.42x2.65mm_HandSolder,134.4,-95.45,180.0,top
PS1,B0305S-1WR2,Converter_DCDC_muRata_CRE1xxxxxx3C_THT,140.6675,-97.1125,0.0,top
Q1,BC847C,SOT-23,126.8,-100.35,0.0,top
R1,5.1K_0402,R_0402_1005Metric,95.8,-129.4,0.0,top
R2,5.1K_0402,R_0402_1005Metric,95.8,-128.2,0.0,top
R3,5.1K_0402,R_0402_1005Metric,96.5,-119.59,-90.0,top
R4,5.1K_0402,R_0402_1005Metric,98.89,-91.7,0.0,top
R5,5.1K_0402,R_0402_1005Metric,96.4,-115.4,90.0,top
R6,5.1K_0402,R_0402_1005Metric,98.9,-90.5,0.0,top
R7,5.1K_0402,R_0402_1005Metric,95.6,-110.69,-90.0,top
R8,5.1K_0402,R_0402_1005Metric,95.8,-83.79,-90.0,top
R9,5.1K_0402,R_0402_1005Metric,96.4,-106.3,90.0,top
R10,5.1K_0402,R_0402_1005Metric,96.4,-81.7,90.0,top
R11,5.1K_0402,R_0402_1005Metric,96.1,-99.6,-90.0,top
R12,5.1K_0402,R_0402_1005Metric,96.3,-73.1,90.0,top
R13,5.1K_0402,R_0402_1005Metric,96.6,-96.7,90.0,top
R14,5.1K_0402,R_0402_1005Metric,95.5,-75.11,-90.0,top
R15,5.1K_0402,R_0402_1005Metric,96.0,-67.8,-90.0,top
R16,5.1K_0402,R_0402_1005Metric,97.1,-64.9,0.0,top
R17,5.1K_0402,R_0402_1005Metric,116.59,-77.7,0.0,top
R18,5.1K_0402,R_0402_1005Metric,116.59,-76.4,0.0,top
R19,5.1K_0402,R_0402_1005Metric,136.61,-72.95,180.0,top
R20,5.1K_0402,R_0402_1005Metric,136.1,-76.94,-90.0,top
R21,1K,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,129.8,-100.35,90.0,top
U1,TCA9548APWR,TSSOP-24_4.4x7.8mm_P0.65mm,105.4,-79.4,0.0,top
U2,LP5907MFX-3.3,SOT-23-5,122.41,-100.06,90.0,top
U3,ISO1541,SOIC-8_3.9x4.9mm_P1.27mm,131.6,-75.85,180.0,top
